bs,gpus,mp,ep,iter4_total_time,iter4_instances,iter4_avg,iter4_med,iter4_min_ns,iter4_max_ns,iter4_stddev,iter5_total_time,iter5_instances,iter5_avg,iter5_med,iter5_min_ns,iter5_max_ns,iter5_stddev,iter6_total_time,iter6_instances,iter6_avg,iter6_med,iter6_min_ns,iter6_max_ns,iter6_stddev,iter7_total_time,iter7_instances,iter7_avg,iter7_med,iter7_min_ns,iter7_max_ns,iter7_stddev,iter8_total_time,iter8_instances,iter8_avg,iter8_med,iter8_min_ns,iter8_max_ns,iter8_stddev,nccl_total_time,nccl_instances,nccl_avg,nccl_med,nccl_min_ns,nccl_max_ns,nccl_stddev,iter_all_avg
4.0,1.0,1.0,1.0,756378605.0,1.0,756378605.0,756378605.0,756378605.0,756378605.0,0.0,762289685.0,1.0,762289685.0,762289685.0,762289685.0,762289685.0,0.0,754811744.0,1.0,754811744.0,754811744.0,754811744.0,754811744.0,0.0,775124142.0,1.0,775124142.0,775124142.0,775124142.0,775124142.0,0.0,755431568.0,1.0,755431568.0,755431568.0,755431568.0,755431568.0,0.0,,,,,,,,760807148.8
4.0,2.0,1.0,2.0,1891661382.0,2.0,945830691.0,945830691.0,945806972.0,945854410.0,33543.7,1854054768.0,2.0,927027384.0,927027384.0,926997280.0,927057488.0,42573.5,1883268543.0,2.0,941634271.5,941634271.5,941588974.0,941679569.0,64060.3,1893840215.0,2.0,946920107.5,946920107.5,946881407.0,946958808.0,54730.8,1915379307.0,2.0,957689653.5,957689653.5,957685348.0,957693959.0,6088.9,267462623.0,320.0,835820.7,277857.0,215713.0,33056293.0,2519355.2,943820421.5
16.0,1.0,1.0,1.0,3104842488.0,1.0,3104842488.0,3104842488.0,3104842488.0,3104842488.0,0.0,3089884334.0,1.0,3089884334.0,3089884334.0,3089884334.0,3089884334.0,0.0,3101870812.0,1.0,3101870812.0,3101870812.0,3101870812.0,3101870812.0,0.0,3132221109.0,1.0,3132221109.0,3132221109.0,3132221109.0,3132221109.0,0.0,3107948099.0,1.0,3107948099.0,3107948099.0,3107948099.0,3107948099.0,0.0,,,,,,,,3107353368.4
16.0,1.0,1.0,2.0,4848266047.0,1.0,4848266047.0,4848266047.0,4848266047.0,4848266047.0,0.0,4853116850.0,1.0,4853116850.0,4853116850.0,4853116850.0,4853116850.0,0.0,4867024680.0,1.0,4867024680.0,4867024680.0,4867024680.0,4867024680.0,0.0,4862502203.0,1.0,4862502203.0,4862502203.0,4862502203.0,4862502203.0,0.0,4869892662.0,1.0,4869892662.0,4869892662.0,4869892662.0,4869892662.0,0.0,61621905.0,160.0,385136.9,383490.0,371362.0,404706.0,9789.6,4860160488.4
16.0,1.0,1.0,4.0,4801396789.0,1.0,4801396789.0,4801396789.0,4801396789.0,4801396789.0,0.0,4791683062.0,1.0,4791683062.0,4791683062.0,4791683062.0,4791683062.0,0.0,4798558647.0,1.0,4798558647.0,4798558647.0,4798558647.0,4798558647.0,0.0,4801342339.0,1.0,4801342339.0,4801342339.0,4801342339.0,4801342339.0,0.0,4822748891.0,1.0,4822748891.0,4822748891.0,4822748891.0,4822748891.0,0.0,61505220.0,160.0,384407.6,382642.5,371618.0,404802.0,8788.7,4803145945.6
16.0,1.0,1.0,8.0,4723303894.0,1.0,4723303894.0,4723303894.0,4723303894.0,4723303894.0,0.0,4763152787.0,1.0,4763152787.0,4763152787.0,4763152787.0,4763152787.0,0.0,4726242802.0,1.0,4726242802.0,4726242802.0,4726242802.0,4726242802.0,0.0,4737588186.0,1.0,4737588186.0,4737588186.0,4737588186.0,4737588186.0,0.0,4753381727.0,1.0,4753381727.0,4753381727.0,4753381727.0,4753381727.0,0.0,60907836.0,160.0,380674.0,379617.5,371073.0,397474.0,5450.6,4740733879.2
16.0,2.0,1.0,1.0,6321091926.0,2.0,3160545963.0,3160545963.0,3160499516.0,3160592410.0,65686.0,6366273507.0,2.0,3183136753.5,3183136753.5,3183117617.0,3183155890.0,27063.1,6303119240.0,2.0,3151559620.0,3151559620.0,3151552314.0,3151566926.0,10332.2,6374923280.0,2.0,3187461640.0,3187461640.0,3187432011.0,3187491269.0,41901.7,6605238763.0,2.0,3302619381.5,3302619381.5,3302609067.0,3302629696.0,14586.9,,,,,,,,3197064671.6
16.0,2.0,1.0,16.0,9616133636.0,2.0,4808066818.0,4808066818.0,4803179370.0,4812954266.0,6911895.2,9626745637.0,2.0,4813372818.5,4813372818.5,4813368331.0,4813377306.0,6346.3,9556758448.0,2.0,4778379224.0,4778379224.0,4778292486.0,4778465962.0,122666.1,9622237001.0,2.0,4811118500.5,4811118500.5,4811044990.0,4811192011.0,103959.5,9716916379.0,2.0,4858458189.5,4858458189.5,4858417286.0,4858499093.0,57846.3,716148518.0,320.0,2237964.1,874599.5,785415.0,46105766.0,3648199.5,4813879110.1
16.0,2.0,1.0,2.0,9971477100.0,2.0,4985738550.0,4985738550.0,4984722865.0,4986754235.0,1436395.5,9940654624.0,2.0,4970327312.0,4970327312.0,4970313847.0,4970340777.0,19042.4,9939867496.0,2.0,4969933748.0,4969933748.0,4969921058.0,4969946438.0,17946.4,9918722201.0,2.0,4959361100.5,4959361100.5,4959344688.0,4959377513.0,23210.8,9971482945.0,2.0,4985741472.5,4985741472.5,4985729929.0,4985753016.0,16325.0,921108404.0,320.0,2878463.8,971349.0,766439.0,73542038.0,5358567.5,4974220436.6
16.0,2.0,1.0,4.0,9804423763.0,2.0,4902211881.5,4902211881.5,4902189017.0,4902234746.0,32335.3,9811205604.0,2.0,4905602802.0,4905602802.0,4905572003.0,4905633601.0,43556.4,9829361434.0,2.0,4914680717.0,4914680717.0,4914672002.0,4914689432.0,12324.9,9807161203.0,2.0,4903580601.5,4903580601.5,4903529660.0,4903631543.0,72042.2,9790997255.0,2.0,4895498627.5,4895498627.5,4895467641.0,4895529614.0,43821.5,787112365.0,320.0,2459726.1,921013.5,768774.0,23077839.0,2758019.0,4904314925.9
